"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2024,23:00,399.93,401.00,397.89,398.33,47002803,0
01/04/2024,23:00,396.44,399.59,396.06,396.28,39432797,0
01/05/2024,23:00,396.45,399.56,395.34,396.75,44922810,0
01/08/2024,23:00,397.99,405.24,397.84,404.95,42473796,0
01/09/2024,23:00,401.91,406.69,401.71,405.75,39132860,0
01/10/2024,23:00,406.07,409.52,405.17,408.50,33962774,0
01/11/2024,23:00,409.79,411.20,404.24,409.35,54536198,0
01/12/2024,23:00,410.40,411.25,408.15,409.56,39594952,0
01/16/2024,23:00,408.31,411.12,406.83,409.52,43903027,0
01/17/2024,23:00,406.17,407.59,402.92,407.21,54385974,0
01/18/2024,23:00,410.52,413.58,409.16,412.99,59562505,0
01/19/2024,23:00,415.22,421.34,414.63,421.18,70325123,0
01/22/2024,23:00,423.41,424.73,421.12,421.73,44880639,0
01/23/2024,23:00,422.43,423.70,420.57,423.48,33003806,0
01/24/2024,23:00,427.44,429.85,425.33,425.83,46948016,0
01/25/2024,23:00,428.36,429.04,423.98,426.35,44367205,0
01/26/2024,23:00,424.44,426.21,423.15,423.81,37137028,0
01/29/2024,23:00,424.27,428.35,423.61,428.15,38694724,0
01/30/2024,23:00,427.10,427.68,424.38,425.30,36738956,0
01/31/2024,23:00,420.85,422.87,416.79,416.97,64010649,0
02/01/2024,23:00,418.79,422.38,417.81,421.88,51008622,0
02/02/2024,23:00,423.80,430.24,422.79,429.01,59602435,0
02/05/2024,23:00,429.07,429.61,425.00,428.45,39889209,0
02/06/2024,23:00,429.61,430.22,425.22,427.59,35846134,0
02/07/2024,23:00,430.41,432.83,429.09,431.99,37712661,0
02/08/2024,23:00,432.11,433.56,431.42,432.79,29889892,0
02/09/2024,23:00,433.94,437.85,433.14,437.05,36943905,0
02/12/2024,23:00,436.94,439.14,434.65,435.34,33203305,0
02/13/2024,23:00,427.28,431.27,425.33,428.55,64491669,0
02/14/2024,23:00,431.26,433.65,428.88,433.22,45092722,0
02/15/2024,23:00,433.92,434.98,431.33,434.51,38796137,0
02/16/2024,23:00,434.89,434.99,429.85,430.57,53716475,0
02/20/2024,23:00,428.55,430.08,423.50,427.32,53999452,0
02/21/2024,23:00,424.55,425.70,421.63,425.61,50179697,0
02/22/2024,23:00,434.49,439.12,433.71,438.07,53887751,0
02/23/2024,23:00,439.65,440.59,435.79,436.78,39853861,0
02/26/2024,23:00,437.60,438.60,436.36,436.55,33043238,0
02/27/2024,23:00,437.67,437.99,435.03,437.60,33713220,0
02/28/2024,23:00,435.43,436.67,434.30,435.27,32938821,0
02/29/2024,23:00,438.23,440.09,435.02,439.00,42495152,0
03/01/2024,23:00,439.90,446.58,439.84,445.61,43853029,0
