long_threshold,short_threshold,min_volume_pct_change,bar_color_filter,profit_factor,win_rate,avg_return,avg_pnl,max_drawdown,num_trades,risk_violations,daily_loss_violations,direction_tag,suggested_contracts,stop_ticks,stop_loss_dollars,error
1.0,1.0,0.0,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,1.0,0.05,True,0.8915989159891599,0.47368421052631576,-0.8771929824561403,-0.8771929824561403,131.25,57,11,0,both,1,10,0,
1.0,1.0,0.05,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,1.5,0.0,True,0.7869249394673123,0.4166666666666667,-1.8333333333333333,-1.8333333333333333,148.75,60,14,0,both,1,10,0,
1.0,1.5,0.0,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,1.5,0.05,True,0.7869249394673123,0.4166666666666667,-1.8333333333333333,-1.8333333333333333,148.75,60,14,0,both,1,10,0,
1.0,1.5,0.05,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,2.0,0.0,True,0.9451754385964912,0.48,-0.4166666666666667,-0.4166666666666667,78.75,75,14,0,both,1,10,0,
1.0,2.0,0.0,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,2.0,0.05,True,0.9451754385964912,0.48,-0.4166666666666667,-0.4166666666666667,78.75,75,14,0,both,1,10,0,
1.0,2.0,0.05,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,2.5,0.0,True,1.0392156862745099,0.5176470588235295,0.29411764705882354,0.29411764705882354,180.0,85,16,0,both,1,10,0,
1.0,2.5,0.0,False,0.8483685220729367,0.4810126582278481,-1.25,-1.25,153.75,79,15,0,both,1,10,0,
1.0,2.5,0.05,True,1.0392156862745099,0.5176470588235295,0.29411764705882354,0.29411764705882354,180.0,85,16,0,both,1,10,0,
1.0,2.5,0.05,False,0.8483685220729367,0.4810126582278481,-1.25,-1.25,153.75,79,15,0,both,1,10,0,
1.0,3.0,0.0,True,1.0448979591836736,0.524390243902439,0.3353658536585366,0.3353658536585366,173.75,82,15,0,both,1,10,0,
1.0,3.0,0.0,False,0.8365180467091295,0.4857142857142857,-1.375,-1.375,155.0,70,14,0,both,1,10,0,
1.0,3.0,0.05,True,1.0448979591836736,0.524390243902439,0.3353658536585366,0.3353658536585366,173.75,82,15,0,both,1,10,0,
1.0,3.0,0.05,False,0.8365180467091295,0.4857142857142857,-1.375,-1.375,155.0,70,14,0,both,1,10,0,
1.0,3.5,0.0,True,0.9177570093457944,0.5,-0.6547619047619048,-0.6547619047619048,188.75,84,16,0,both,1,10,0,
1.0,3.5,0.0,False,0.8329718004338394,0.4852941176470588,-1.4154411764705883,-1.4154411764705883,155.0,68,14,0,both,1,10,0,
1.0,3.5,0.05,True,0.9177570093457944,0.5,-0.6547619047619048,-0.6547619047619048,188.75,84,16,0,both,1,10,0,
1.0,3.5,0.05,False,0.8329718004338394,0.4852941176470588,-1.4154411764705883,-1.4154411764705883,155.0,68,14,0,both,1,10,0,
1.0,4.0,0.0,True,0.92,0.4888888888888889,-0.6388888888888888,-0.6388888888888888,188.75,90,19,0,both,1,10,0,
1.0,4.0,0.0,False,0.9539641943734015,0.5333333333333333,-0.375,-0.375,128.75,60,14,0,both,1,10,0,
1.0,4.0,0.05,True,0.92,0.4888888888888889,-0.6388888888888888,-0.6388888888888888,188.75,90,19,0,both,1,10,0,
1.0,4.0,0.05,False,0.9539641943734015,0.5333333333333333,-0.375,-0.375,128.75,60,14,0,both,1,10,0,
1.5,0.5,0.0,True,1.1330049261083743,0.5342465753424658,0.9246575342465754,0.9246575342465754,101.25,73,13,0,both,1,10,0,
1.5,0.5,0.0,False,0.7266949152542372,0.4411764705882353,-2.3713235294117645,-2.3713235294117645,240.0,68,12,0,both,1,10,0,
1.5,0.5,0.05,True,1.1330049261083743,0.5342465753424658,0.9246575342465754,0.9246575342465754,101.25,73,13,0,both,1,10,0,
1.5,0.5,0.05,False,0.7266949152542372,0.4411764705882353,-2.3713235294117645,-2.3713235294117645,240.0,68,12,0,both,1,10,0,
1.5,1.0,0.0,True,0.8406466512702079,0.47761194029850745,-1.287313432835821,-1.287313432835821,171.25,67,12,0,both,1,10,0,
1.5,1.0,0.0,False,0.7266949152542372,0.4411764705882353,-2.3713235294117645,-2.3713235294117645,240.0,68,12,0,both,1,10,0,
1.5,1.0,0.05,True,0.8406466512702079,0.47761194029850745,-1.287313432835821,-1.287313432835821,171.25,67,12,0,both,1,10,0,
1.5,1.0,0.05,False,0.7266949152542372,0.4411764705882353,-2.3713235294117645,-2.3713235294117645,240.0,68,12,0,both,1,10,0,
1.5,1.5,0.0,True,0.7684729064039408,0.45,-1.9583333333333333,-1.9583333333333333,141.25,60,13,0,both,1,10,0,
1.5,1.5,0.0,False,0.7266949152542372,0.4411764705882353,-2.3713235294117645,-2.3713235294117645,240.0,68,12,0,both,1,10,0,
